Geneid	description	read01	read02	read03	read04	read05	read06	read07	read08
CG12057	CG12057	50.0480418712645	65.3887097515514	57.2618806699544	54.6435857496519	64.2377764565517	71.1620922144779	68.7348163833098	69.6384780611372
CG2998	RpS28b	313.045595233988	322.063794298686	332.711272168528	315.176396377457	598.893731271851	569.296737715823	624.504903139786	657.151835224816
CG15211	CG15211	22.570685549786	22.4468705117266	22.7072975070509	31.2249061426583	23.7185636147268	28.6625093641647	19.6385189666599	14.7123545199586
CG17333	CG17333	7.85067323470816	12.6873615935846	12.834559460507	19.5155663391614	14.8241022592042	12.8487110942807	15.710815173328	18.6356490586142
CG1938	Dlic	32.3840270931712	24.398772295355	37.5164045768667	33.1764627765744	35.5778454220901	28.6625093641647	37.3131860366539	33.3480035785727
CG11752	CG11752	14.7200123150778	9.759508918142	15.7963808744702	17.5640097052453	12.8475552913103	10.8719863105452	9.81925948332997	10.7890599813029
CG1751	Spase25	16.6826806237548	9.759508918142	5.92364282792632	14.6366747543711	21.7420166468329	25.6974221885614	23.5662227599919	29.4247090399171
CG1572	CG1572	30.4213587844941	49.7734954825242	42.4527736001386	38.0553543613647	67.2025969083925	69.1853674307424	60.8794087966458	70.6193016958011
CG1837	prtp	19.6266830867704	27.3266249707976	25.669118921014	24.3944579239518	23.7185636147268	31.6275965397679	22.5842968116589	17.6548254239503
CG1578	CG1578	33.3653612475097	21.4709196199124	33.5673093582491	33.1764627765744	19.765469678939	8.89526152680973	14.728889224995	6.86576544264733
CG1844	SelG	19.6266830867704	33.1823303216828	31.5927617489404	32.2006844596163	37.554392389984	28.6625093641647	22.5842968116589	29.4247090399171
CG1490	Usp7	21.5893513954474	19.519017836284	16.7836546791246	15.6124530713291	17.7889227110451	16.8021606617517	14.728889224995	18.6356490586142
CG2556	CG2556	40.2347003278793	40.0139865643822	43.440047404793	36.1037977274486	35.5778454220901	32.6159589316357	33.3854822433219	28.4438854052532
CG11138	Pits	50.0480418712645	35.1342321053112	36.5291307722123	33.1764627765744	34.5895719381432	27.6741469722969	34.3674081916549	31.3863563092449
CG4645	CG4645	10.7946756977237	15.6152142690272	24.6818451163597	7.80622653566456	4.94136741973474	9.88362391867748	14.728889224995	11.7698836159669
CG2200	CG2200	7.85067323470816	12.6873615935846	11.8472856558526	9.7577831695807	8.89446135552254	18.7788854454872	11.783111379996	13.7315308852947
CG15717	CG15717	7.85067323470816	13.6633124853988	4.93636902327193	7.80622653566456	23.7185636147268	15.813798269884	15.710815173328	9.80823634663904
CG1640	CG1640	42.1973686365564	49.7734954825242	49.3636902327193	55.61936406661	51.3902211652413	58.3133811201971	57.9336309516468	65.7151835224816
CG1681	GstT4	121.685435137976	105.402696315934	124.396499386453	91.7231617940586	57.319862068923	67.2086426470069	52.0420752616489	48.0603580985313
CG12175	tth	19.6266830867704	20.4949687280982	18.7582022884333	18.5397880222033	12.8475552913103	13.8370734861485	17.6746670699939	21.5781199626059
CG11151	CG11151	103.040086205545	95.6431873977916	106.625570902674	104.408279914514	112.663177169952	113.661675064791	106.048002419964	124.564601602316
CG10990	Pdcd4	37.2906978648638	37.0861338889396	28.6309403349772	31.2249061426583	43.4840332936657	32.6159589316357	22.5842968116589	28.4438854052532
CG10992	CtsB	286.549573066848	245.939624737178	252.742093991523	333.71618439966	142.311381688361	160.114707482575	146.306966301617	131.430367044963
CG10997	Clic	84.3947372731127	78.076071345136	69.109166325807	80.0138219905618	38.542665873931	21.7439726210905	37.3131860366539	38.2521217518923
